Test Name,Owner,Started,Completed,Issues Found,Don Jr FeedBack
4.4.1.1,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.2,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.3,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.4,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.5,Daniel F.,1/12/2022,,Need code file to complete,
4.4.1.6,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.7,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.8,Daniel F.,1/12/2022,,Need code file to complete,
4.4.1.9,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.10,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.11,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.12,Daniel F.,1/12/2022,1/12/2022,,
4.4.1.13,Daniel F.,1/13/2022,1/13/2022,,
4.4.1.14,Daniel F.,1/13/2022,1/13/2022,,
4.4.1.15,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.1,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.2,Daniel F.,1/13/2022,,Need code file to complete,
4.4.2.3,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.4,Daniel F.,1/13/2022,,Need code file to complete,
4.4.2.5,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.6,Daniel F.,1/13/2022,,"Could not do, database error?",
4.4.2.7,Daniel F.,1/13/2022,,Need code file to complete,
4.4.2.8,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.9,Daniel F.,1/13/2022,1/13/2022,,
4.4.2.10,Daniel F.,1/13/2022,,Need code file to complete,
4.4.2.11,Daniel F.,1/13/2022,,Further instruction required,
4.4.2.12,Daniel F.,1/13/2022,1/13/2022,,
4.4.3.1,Daniel F.,1/13/2022,1/13/2022,,
4.4.3.2,Daniel F.,1/13/2022,1/13/2022,,
4.4.3.3,Daniel F.,1/13/2022,1/13/2022,,
4.4.3.4,Daniel F.,1/13/2022,1/13/2022,,
4.4.4.1,Daniel F.,1/13/2022,1/13/2022,,
4.4.4.2,Daniel F.,1/13/2022,1/13/2022,,
4.4.4.3,Daniel F.,1/13/2022,1/13/2022,,
4.4.4.4,Daniel F.,1/13/2022,1/13/2022,,
4.4.4.5,Daniel F.,1/14/2022,1/14/2022,,
4.4.4.6,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.1,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.2,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.3,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.4,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.5,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.6,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.7,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.8,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.9,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.10,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.11,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.12,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.13,Daniel F.,1/14/2022,1/14/2022,,
4.4.5.14,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.1,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.2,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.3,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.4,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.5,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.6,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.7,Daniel F.,1/14/2022,1/14/2022,,
4.4.6.8,Daniel F.,1/14/2022,,I need a foot pedal (?),
4.4.6.9,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.10,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.11,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.12,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.13,Daniel F.,1/18/2022,,Redacted by test supplier,
4.4.6.14,Daniel F.,1/18/2022,,Instructions unclear,
4.4.6.15,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.16,Daniel F.,1/18/2022,1/18/2022,,
4.4.6.17,Daniel F.,1/18/2022,1/18/2022,,
4.4.7.1,Daniel F.,1/18/2022,1/18/2022,,
